年龄: 30, 阶段: 缴养老, 年初余额: 4,250,749, 年收益: 42,507, 股票提取: 30,000, 养老金缴纳: 36,000, 存款提取: 68,969, 年可用收入: 62,969, 月可用收入: 5,247, 年末余额: 4,188,287
年龄: 31, 阶段: 缴养老, 年初余额: 4,188,287, 年收益: 41,883, 股票提取: 30,000, 养老金缴纳: 36,000, 存款提取: 69,594, 年可用收入: 63,594, 月可用收入: 5,299, 年末余额: 4,124,576
年龄: 32, 阶段: 缴养老, 年初余额: 4,124,576, 年收益: 41,246, 股票提取: 30,000, 养老金缴纳: 36,000, 存款提取: 70,231, 年可用收入: 64,231, 月可用收入: 5,353, 年末余额: 4,059,590
年龄: 33, 阶段: 缴养老, 年初余额: 4,059,590, 年收益: 40,596, 股票提取: 30,000, 养老金缴纳: 36,000, 存款提取: 70,881, 年可用收入: 64,881, 月可用收入: 5,407, 年末余额: 3,993,305
年龄: 34, 阶段: 缴养老, 年初余额: 3,993,305, 年收益: 39,933, 股票提取: 30,000, 养老金缴纳: 36,000, 存款提取: 71,544, 年可用收入: 65,544, 月可用收入: 5,462, 年末余额: 3,925,695
年龄: 35, 阶段: 缴养老, 年初余额: 3,925,695, 年收益: 39,257, 股票提取: 30,000, 养老金缴纳: 36,000, 存款提取: 72,220, 年可用收入: 66,220, 月可用收入: 5,518, 年末余额: 3,856,732
年龄: 36, 阶段: 缴养老, 年初余额: 3,856,732, 年收益: 38,567, 股票提取: 30,000, 养老金缴纳: 36,000, 存款提取: 72,909, 年可用收入: 66,909, 月可用收入: 5,576, 年末余额: 3,786,390
年龄: 37, 阶段: 缴养老, 年初余额: 3,786,390, 年收益: 37,864, 股票提取: 30,000, 养老金缴纳: 36,000, 存款提取: 73,613, 年可用收入: 67,613, 月可用收入: 5,634, 年末余额: 3,714,641
年龄: 38, 阶段: 缴养老, 年初余额: 3,714,641, 年收益: 37,146, 股票提取: 30,000, 养老金缴纳: 36,000, 存款提取: 74,330, 年可用收入: 68,330, 月可用收入: 5,694, 年末余额: 3,641,457
年龄: 39, 阶段: 缴养老, 年初余额: 3,641,457, 年收益: 36,415, 股票提取: 30,000, 养老金缴纳: 36,000, 存款提取: 75,062, 年可用收入: 69,062, 月可用收入: 5,755, 年末余额: 3,566,809
年龄: 40, 阶段: 缴养老, 年初余额: 3,566,809, 年收益: 35,668, 股票提取: 30,000, 养老金缴纳: 36,000, 存款提取: 75,809, 年可用收入: 69,809, 月可用收入: 5,817, 年末余额: 3,490,669
年龄: 41, 阶段: 缴养老, 年初余额: 3,490,669, 年收益: 34,907, 股票提取: 30,000, 养老金缴纳: 36,000, 存款提取: 76,570, 年可用收入: 70,570, 月可用收入: 5,881, 年末余额: 3,413,005
年龄: 42, 阶段: 缴养老, 年初余额: 3,413,005, 年收益: 34,130, 股票提取: 30,000, 养老金缴纳: 36,000, 存款提取: 77,347, 年可用收入: 71,347, 月可用收入: 5,946, 年末余额: 3,333,788
年龄: 43, 阶段: 缴养老, 年初余额: 3,333,788, 年收益: 33,338, 股票提取: 30,000, 养老金缴纳: 36,000, 存款提取: 78,139, 年可用收入: 72,139, 月可用收入: 6,012, 年末余额: 3,252,987
